代码	名称	涨幅%	现价	买价	卖价	涨速%	换手%	收入同比%	利润同比%	净益率%	市盈(TTM)	市销率	净利润率%	研发费用(亿)	
688456	有研粉材	-0.39	144.52	--  	144.52	0.15	         12.22	59.00	193.04	   2.35㈠	167.31	11.84	          2.45	0.28	
300034	钢研高纳	-1.35	17.58	--  	--  	0.00	          1.79	7.76	22.42	   1.75㈠	142.32	13.87	         10.46	0.46	
000938	紫光股份	2.79	27.66	27.65	27.66	0.04	          4.05	34.61	126.06	   5.07㈠	36.22	2.83	          3.43	11.96	
688187	时代电气	-0.50	61.27	61.27	--  	0.05	          2.00	12.45	1.91	   1.49㈠	20.20	16.19	         13.18	5.87	
688122	西部超导	-0.69	56.28	--  	56.28	-0.13	          1.92	0.62	-74.21	   0.61㈠	51.63	33.84	          6.41	0.51	
301458	钧崴电子	7.22	61.96	61.96	--  	0.00	         16.44	20.13	7.38	   2.17㈠	115.24	82.50	         18.45	0.08	
688662	富信科技	7.19	187.10	--  	187.10	-0.06	          9.83	4.33	5.06	   1.00㈠	503.55	183.45	          7.20	0.07	
688620	安凯微	-0.42	14.38	--  	--  	0.07	          6.36	47.08	11.19	  -1.54㈠	--  	37.63	        -13.50	0.44	
301536	星宸科技	8.40	121.58	121.58	--  	-0.06	          7.68	49.35	330.28	   6.83㈠	99.08	51.59	         22.26	1.99	
301568	思泰克	6.11	120.81	--  	--  	0.02	         10.75	45.56	44.17	   2.47㈠	98.08	110.96	         23.51	0.09	
301696	三瑞智能	0.32	111.06	111.06	--  	0.00	          9.42	0.00	0.00	  10.08㈠	94.43	132.90	         39.27	0.12	
688301	奕瑞科技	-1.48	109.73	--  	--  	0.00	          3.81	42.50	24.91	   2.76㈠	48.08	47.33	         26.59	0.88	
688379	华光新材	-0.16	87.89	--  	--  	0.00	          6.64	84.11	-61.17	   2.64㈠	64.47	7.74	          3.44	0.26	
688668	鼎通科技	-0.47	393.00	393.00	--  	0.15	          2.79	20.78	51.86	   3.90㈠	205.22	119.66	         17.59	0.31	
300408	三环集团	-0.16	145.26	145.26	--  	0.04	          3.66	46.25	48.48	   3.53㈠	96.94	103.84	         29.50	1.56	
688160	步科股份	5.69	114.84	114.84	--  	0.09	          5.03	43.22	19.70	   1.01㈠	132.18	55.19	          7.04	0.23	
688003	天准科技	6.79	120.19	120.19	--  	0.01	          4.22	75.61	114.54	   0.23㈠	193.34	60.83	          1.16	0.65	
688322	奥比中光-W	2.38	125.80	125.80	--  	-0.01	          5.58	6.19	27.48	   1.04㈠	366.24	248.73	         14.94	0.53	
688577	浙海德曼	-1.21	47.20	--  	47.20	0.00	          0.73	47.25	680.22	   1.60㈠	115.54	35.12	          7.91	0.15	
002979	雷赛智能	-1.39	53.14	53.14	53.15	0.25	          4.43	34.55	29.20	   3.85㈠	70.23	31.86	         14.02	0.62	
605376	博迁新材	0.22	224.50	224.50	224.51	0.00	          4.64	64.02	49.64	   4.07㈠	241.20	143.33	         17.48	0.15	
002821	凯莱英	10.00	141.57	141.57	--  	0.00	          2.12	16.91	-6.82	   1.70㈠	41.82	28.35	         16.71	1.27	
600276	恒瑞医药	2.59	50.25	50.25	50.26	-0.01	          2.13	12.98	21.78	   3.59㈠	40.04	40.97	         28.02	16.51	
603127	昭衍新药	4.24	38.08	38.08	38.09	-0.15	          5.95	10.02	479.67	   2.79㈠	55.29	90.26	         75.40	0.19	
002460	赣锋锂业	5.32	71.62	71.62	71.63	0.01	          6.15	143.81	616.34	   3.95㈠	37.46	16.33	         20.90	3.59	
300438	鹏辉能源	1.84	82.47	--  	82.47	-0.04	          6.97	182.14	819.09	   5.68㈠	70.95	8.71	          6.93	1.76	
002709	天赐材料	4.26	56.34	56.33	56.34	0.02	          8.46	91.29	1005.75	   8.67㈠	38.43	17.21	         24.68	2.85	
603005	晶方科技	4.93	49.63	49.63	49.64	0.40	         21.28	14.86	0.12	   1.40㈠	83.44	96.90	         19.65	0.35	
688271	联影医疗	-0.19	102.33	--  	--  	-0.59	          1.00	17.34	7.78	   1.82㈠	44.51	29.01	         13.50	3.78	
301029	怡合达	-2.30	29.25	29.25	--  	-0.06	          3.99	20.39	6.02	   2.87㈠	36.56	24.86	         17.30	0.29	
430005	原子高科	1.94	25.81	25.40	25.81	0.00	          0.05	0.00	0.00	   9.30㈣	--  	2.27	         14.05	1.30	
430552	亚成微	-0.14	27.86	27.10	27.86	0.00	          0.04	0.00	0.00	  20.49㈣	--  	5.73	         20.72	0.44	
002025	航天电器	10.01	66.61	66.61	--  	0.00	          3.17	10.09	12.18	   0.78㈠	145.83	18.74	          4.35	1.54	
300726	宏达电子	8.31	88.25	88.25	--  	0.07	         12.72	11.68	70.77	   1.81㈠	76.25	99.16	         31.05	0.28	
001339	智微智能	10.00	136.95	136.95	--  	0.00	         11.37	52.96	159.13	   4.62㈠	131.99	26.52	         15.28	0.46	
688231	隆达股份	-1.84	33.66	--  	--  	0.57	          1.47	64.75	66.70	   1.69㈠	117.75	18.98	          8.40	0.22	
688610	埃科光电	-0.68	226.47	--  	--  	0.00	          4.15	95.79	169.09	   1.49㈠	197.41	105.09	         15.83	0.18	
600703	三安光电	9.98	21.81	21.81	--  	0.00	          4.62	-32.59	-68.15	   0.19㈠	--  	37.43	          2.48	1.85	
603626	科森科技	-0.39	20.36	20.35	20.36	-0.04	          3.73	-9.51	512.78	  16.93㈠	88.76	18.07	         61.64	0.47	
688711	宏微科技	-3.48	42.42	42.42	--  	0.02	         14.66	3.83	-16.11	   0.08㈠	552.85	29.27	         -0.62	0.31	
300073	当升科技	-0.63	50.67	--  	--  	-0.03	          3.10	137.19	150.25	   1.85㈠	34.76	6.09	          6.63	2.58	
603290	斯达半导	0.29	139.20	139.19	139.20	0.01	          5.78	-6.00	-74.32	   0.38㈠	101.29	38.58	          3.09	1.22	
688123	聚辰股份	20.00	165.88	165.88	--  	0.00	         16.78	7.25	-69.00	   1.15㈠	74.47	94.14	         11.62	0.67	
301095	广立微	8.26	104.86	--  	--  	-0.03	          8.70	58.47	21.86	  -0.34㈠	211.58	199.34	        -13.77	0.82	
002975	博杰股份	4.65	151.32	151.31	151.32	0.00	         12.17	127.21	419.12	   2.80㈠	129.23	67.36	         13.84	0.57	
603297	永新光学	10.00	132.89	132.89	--  	0.00	          2.92	20.13	-17.10	   2.19㈠	63.72	55.85	         17.48	0.23	
301080	百普赛斯	7.63	44.57	44.57	--  	0.00	          6.63	26.33	13.99	   1.71㈠	40.43	31.63	         19.63	0.45	
688169	石头科技	-2.60	92.49	--  	--  	0.03	          2.78	23.31	20.83	   2.26㈠	17.35	5.67	          7.65	2.86	
600641	先导基电	4.66	37.76	37.75	37.76	-0.49	          9.84	178.17	17.49	  -0.21㈠	--  	66.81	         -8.91	0.57	
002897	意华股份	10.00	93.16	93.16	--  	0.00	         11.40	-5.34	-37.69	   1.42㈠	55.86	13.97	          3.08	0.59	
300661	圣邦股份	0.23	137.48	137.48	--  	-0.29	          3.02	39.08	106.96	   2.26㈠	139.34	77.71	         11.18	2.94	
688110	东芯股份	6.14	171.73	--  	--  	0.02	          7.14	236.95	333.42	   3.85㈠	26191.03	158.49	         31.99	0.53	
688536	思瑞浦	2.61	356.00	--  	--  	0.53	          3.62	66.50	577.25	   1.66㈠	182.26	69.99	         15.01	1.64	
688390	固德威	-1.11	113.19	--  	113.19	-0.01	          3.53	25.42	462.04	   3.57㈠	105.22	11.66	          4.19	1.56	
002741	光华科技	-6.50	34.97	34.96	34.97	-0.02	         18.68	64.89	63.19	   2.08㈠	145.13	16.77	          4.25	0.31	
688063	派能科技	-1.25	56.86	--  	--  	0.00	          3.13	147.89	158.39	   0.24㈠	97.31	14.35	          2.09	0.95	
000975	山金国际	-0.16	19.12	19.12	19.13	-0.04	          1.97	37.41	100.89	   8.58㈠	14.46	8.93	         26.01	0.25	
688401	路维光电	11.95	84.41	84.41	--  	0.04	          7.26	25.56	38.80	   3.94㈠	53.78	49.98	         20.88	0.12	
688633	星球石墨	-0.38	31.53	--  	--  	-0.02	          3.25	94.22	336.31	   4.07㈠	23.92	21.64	         29.42	0.09	
688515	裕太微-U	1.51	266.63	266.63	--  	-0.27	         11.50	74.83	28.76	  -2.95㈠	--  	150.55	        -30.53	0.73	
688143	长盈通	4.51	236.20	236.20	--  	-0.33	          7.43	29.54	-28.73	   0.44㈠	1350.46	358.71	          6.29	0.12	
688630	芯碁微装	11.02	513.88	513.88	--  	0.17	          4.52	112.48	108.98	   4.48㈠	176.01	131.53	         21.06	0.36	
002378	章源钨业	1.48	37.01	37.00	37.01	0.00	          8.23	121.76	795.78	  14.02㈠	69.64	16.90	         14.48	0.93	
688222	成都先导	0.13	30.78	--  	30.78	-0.05	          5.90	50.40	46.72	   2.70㈠	100.36	76.82	         25.86	0.21	
688002	睿创微纳	-0.76	142.90	142.90	--  	-0.12	          1.90	71.12	228.31	   6.55㈠	46.43	34.53	         23.71	2.94	
688025	杰普特	-0.54	418.94	418.94	--  	0.00	          4.08	92.75	170.98	   4.06㈠	117.60	60.25	         14.62	0.45	
001270	铖昌科技	1.76	124.56	124.56	124.57	0.01	          3.91	12.92	50.00	   2.87㈠	191.10	247.11	         43.05	0.31	
300608	思特奇	-5.41	12.06	12.06	--  	0.00	          9.28	84.53	-2.36	  -5.25㈠	--  	48.05	        -78.53	0.17	
000988	华工科技	2.58	167.89	167.89	167.90	0.01	          5.46	27.13	55.76	   5.46㈠	96.84	39.57	         15.10	2.36	
002129	TCL中环	-3.46	9.50	9.50	9.51	0.00	          4.48	7.34	13.62	  -8.23㈠	--  	5.86	        -27.85	2.07	
300760	迈瑞医疗	-1.90	136.73	136.73	--  	-0.15	          0.88	1.39	-11.37	   5.81㈠	21.56	19.85	         29.05	8.02	
688158	优刻得-W	3.74	38.85	--  	38.85	-0.07	          7.40	16.77	106.13	   0.11㈠	--  	40.79	          0.62	0.49	
300136	信维通信	8.00	103.12	103.12	--  	0.04	         12.65	14.31	35.35	   1.31㈠	125.51	50.08	          5.26	1.43	
688213	思特威-W	1.13	96.02	96.02	--  	-0.32	          3.69	20.68	23.66	   4.34㈠	36.50	18.29	         11.21	1.62	
000738	航发控制	-1.14	18.29	18.29	18.30	-0.21	          1.11	0.02	-13.77	   1.01㈠	77.43	17.83	          9.48	0.29	
688348	昱能科技	-2.52	35.14	--  	--  	0.14	          1.44	-22.42	-313.41	  -1.84㈠	--  	37.10	        -43.17	0.30	
688297	中无人机	2.39	44.61	44.61	--  	-0.15	          1.48	143.59	0.11	   0.29㈠	331.96	52.43	          2.94	0.31	
002049	紫光国微	2.11	83.64	83.63	83.64	0.00	          4.33	46.11	180.27	   2.37㈠	42.12	47.40	         22.23	2.95	
688302	海创药业-U	-0.87	35.27	--  	--  	0.03	          1.37	0.00	6.92	  -2.89㈠	--  	134.19	       -114.82	0.29	
600765	中航重机	-1.76	13.42	13.41	13.42	-0.14	          1.05	6.46	-20.14	   1.10㈠	37.27	8.49	         11.86	1.06	
300033	同花顺	-3.69	240.20	--  	240.20	0.04	          5.85	40.81	112.58	   3.66㈠	56.19	171.60	         24.29	2.98	
688559	海目星	-0.01	75.67	--  	75.67	-0.11	          4.79	144.36	113.35	   1.04㈠	--  	14.24	          1.42	0.69	
600150	中国船舶	-1.28	35.35	35.35	35.36	0.00	          1.13	54.90	251.64	   3.23㈠	23.84	6.14	         11.94	11.31	
001332	锡装股份	-0.92	43.20	43.20	43.23	-0.06	          4.95	83.43	96.84	   3.43㈠	24.78	18.90	         25.82	0.12	
301517	陕西华达	0.18	50.34	50.34	--  	0.00	          3.72	-7.69	13.29	  -1.26㈠	--  	95.91	        -19.07	0.11	
300810	中科海讯	4.17	26.95	26.95	--  	0.07	          5.78	35.75	44.47	  -1.82㈠	--  	50.04	        -21.87	0.06	
688410	山外山	-1.93	14.24	14.24	--  	-0.06	          1.65	21.33	47.21	   2.97㈠	28.41	19.82	         23.72	0.15	
603236	移远通信	0.78	49.27	49.26	49.27	0.06	          1.75	29.26	-33.30	   2.02㈠	25.70	2.94	          2.06	5.86	
600893	XD航发动	-2.95	39.12	39.12	39.13	-0.04	          1.13	14.80	-65.93	   0.01㈠	171.02	14.73	          0.27	0.99	
688563	航材股份	0.06	49.88	--  	--  	-0.07	          1.71	0.79	-11.52	   1.15㈠	43.09	34.11	         18.28	0.43	
688209	英集芯	1.04	26.24	26.24	--  	0.04	          2.83	23.03	129.80	   2.02㈠	55.37	30.21	         11.86	0.80	
688700	东威科技	2.22	91.90	--  	--  	-0.10	          4.72	44.47	160.59	   2.36㈠	180.96	89.77	         14.51	0.27	
300840	酷特智能	-1.29	19.96	--  	--  	0.05	          3.32	4.28	-19.38	   0.97㈠	141.93	29.53	          7.58	0.07	
300699	光威复材	3.35	28.40	28.40	--  	-0.17	          2.91	13.04	-21.58	   2.09㈠	40.08	36.95	         18.75	0.34	
300709	精研科技	2.84	66.23	66.23	--  	0.02	          8.18	21.92	-184.18	  -2.31㈠	627.60	21.55	         -8.35	0.70	
688318	财富趋势	-4.88	81.20	--  	--  	0.02	          2.52	-2.16	-25.71	   0.89㈠	100.88	542.01	         64.30	0.14	
159770	机器人ETF天弘	0.94	1.186	1.186	1.187	0.00	          2.92	0.00	0.00	--  	--  	0.00	--  	--  	
603381	永臻股份	-2.50	16.01	16.01	16.02	0.06	          3.33	-7.50	-9.29	   0.73㈠	--  	1.59	          1.02	0.15	
002317	众生药业	1.31	23.19	23.19	23.20	-0.08	          6.24	-1.58	20.83	   2.40㈠	66.41	31.57	         15.70	0.15	
688416	XR恒烁股	13.17	127.75	--  	127.75	1.79	          7.61	192.08	284.71	   3.66㈠	--  	62.80	         22.16	0.20	
002335	科华数据	0.03	38.42	38.42	38.43	0.00	          4.12	17.57	13.15	   1.20㈠	67.22	20.08	          5.69	1.09	
688049	XD炬芯科	0.79	45.70	--  	--  	0.02	          3.13	23.74	17.49	   2.33㈠	37.71	33.70	         20.50	0.60	
000733	振华科技	1.35	56.90	56.90	56.91	0.02	          6.11	-7.86	-72.81	   0.10㈠	31.66	37.68	          1.86	0.68	
002192	融捷股份	10.00	93.39	93.39	--  	0.00	         11.78	295.77	1296.26	   7.17㈠	41.06	64.46	         73.58	0.02	
002318	久立特材	-4.57	23.62	23.62	23.63	-0.03	          1.27	-29.79	1.43	   4.33㈠	15.96	11.40	         19.59	0.83	
002130	沃尔核材	-0.76	19.56	19.56	19.57	-0.09	          2.63	15.52	-7.63	   2.53㈠	24.53	13.47	         11.97	1.15	
300762	上海瀚讯	5.17	41.70	41.70	--  	-0.01	          8.16	-65.26	-434.16	  -1.95㈠	--  	600.53	       -115.47	0.47	
688333	XD铂力特	-0.82	97.80	97.80	--  	0.08	          4.02	43.57	212.21	   0.34㈠	114.95	82.32	          5.15	0.62	
688320	禾川科技	5.02	39.15	--  	--  	0.00	          6.35	18.70	79.10	  -0.46㈠	--  	21.70	         -3.38	0.32	
688088	虹软科技	-1.03	36.49	--  	--  	0.00	          1.35	8.54	8.90	   1.95㈠	56.28	64.45	         23.81	1.12	
300058	蓝色光标	-0.20	14.75	--  	14.75	-0.13	          6.17	31.91	32.04	   1.58㈠	207.87	2.82	          0.67	0.44	
688365	光云科技	-1.89	17.11	--  	--  	-0.40	          2.85	23.44	146.49	   0.63㈠	--  	51.37	          2.85	0.32	
603843	*ST正平	-3.13	8.37	8.37	8.38	0.00	          2.04	-25.15	-279.22	-101.38㈠	--  	53.23	        -31.26	0.01	
301031	中熔电气	-2.73	115.88	115.88	--  	0.00	          4.48	61.92	87.43	   6.96㈠	38.00	26.82	         17.90	0.49	
600331	宏达股份	-3.66	11.83	11.82	11.83	0.08	          3.03	-10.57	6.19	  -1.08㈠	--  	42.53	         -4.59	0.01	
603077	和邦生物	0.00	2.42	2.42	2.43	-0.40	          1.88	-19.58	1286.79	   0.96㈠	--  	15.40	         12.41	0.04	
300666	江丰电子	3.83	304.04	304.04	--  	0.02	          9.40	30.49	33.42	   4.05㈠	146.39	64.27	         14.14	0.77	
300618	寒锐钴业	1.93	38.60	38.60	--  	-0.02	          3.29	24.19	51.07	   1.17㈠	42.43	6.41	          3.24	0.34	
000960	锡业股份	9.78	46.60	46.59	46.60	-0.14	          9.48	59.86	73.71	   3.82㈠	29.92	4.93	          5.70	0.75	
002315	焦点科技	-1.65	23.91	23.91	23.92	0.00	          2.17	15.81	-12.53	   3.40㈠	20.48	19.30	         16.63	0.69	
688095	福昕软件	-2.03	61.90	--  	--  	0.00	          3.39	14.92	293.15	   0.43㈠	121.94	24.34	          1.28	0.55	
300418	昆仑万维	-0.12	41.80	41.80	--  	-0.01	          3.86	45.69	-15.34	  -7.24㈠	--  	20.90	        -42.02	3.84	
688233	神工股份	13.58	141.90	141.90	--  	0.00	          6.88	6.22	-10.96	   1.33㈠	215.10	214.96	         24.94	0.09	
000983	山西焦煤	-4.73	6.24	6.24	6.25	0.00	          1.80	-1.82	18.62	   2.18㈠	28.01	4.00	         10.97	0.18	
688293	奥浦迈	-0.35	40.09	--  	--  	0.07	          2.70	117.68	167.44	   1.43㈠	84.56	30.65	         20.70	0.16	
688353	华盛锂电	-0.27	119.88	119.88	--  	0.00	          7.91	96.83	325.19	   2.75㈠	125.02	58.47	         28.76	0.15	
301152	天力锂能	-0.68	26.22	--  	--  	0.00	          5.50	23.31	121.30	   0.70㈠	--  	6.04	          1.57	0.20	
300049	福瑞医科	-1.32	40.45	--  	--  	0.17	          2.97	9.00	11.03	   1.60㈠	68.82	29.65	         14.47	0.32	
601388	怡球资源	-1.59	3.09	3.09	3.10	0.00	          1.69	4.51	179.68	   1.28㈠	33.17	3.63	          3.20	--  	
688280	精进电动-W	-2.60	5.99	--  	--  	0.17	          2.70	-19.20	-288.39	 -14.17㈠	345.73	10.83	        -28.01	0.30	
002151	北斗星通	1.49	32.60	32.59	32.60	-0.02	          3.29	93.28	145.76	   0.28㈠	--  	28.77	          1.39	0.93	
688682	霍莱沃	0.84	39.65	--  	--  	-0.64	          2.64	9.43	56.63	   1.05㈠	--  	50.48	          7.48	0.10	
688596	正帆科技	5.19	47.61	47.61	--  	0.17	          7.24	43.35	-174.36	  -0.68㈠	174.52	14.44	         -2.60	0.60	
300602	飞荣达	6.82	49.20	--  	49.20	-0.15	          6.74	39.15	33.92	   1.86㈠	69.77	17.42	          4.80	0.92	
300496	中科创达	2.16	64.42	64.42	--  	-0.01	          4.53	19.04	10.60	   0.98㈠	63.30	17.01	          5.15	2.80	
301325	曼恩斯特	-4.58	37.68	--  	--  	-0.04	          2.24	-84.45	-831.44	  -1.55㈠	--  	79.61	        -78.82	0.38	
301293	三博脑科	5.02	55.04	--  	55.04	0.00	          7.86	13.14	-60.76	   0.64㈠	177.26	25.47	          2.30	--  	
603267	鸿远电子	5.61	76.00	76.00	76.01	0.00	          8.47	-11.98	60.00	   2.13㈠	58.14	42.78	         23.14	0.28	
002957	科瑞技术	2.53	56.32	56.31	56.32	-0.04	          7.01	15.42	56.87	   2.10㈠	77.35	38.25	         12.27	0.73	
300001	特锐德	-2.35	39.08	--  	39.08	-0.04	          3.30	5.41	11.05	   0.83㈠	33.79	18.62	          2.64	0.93	
603087	甘李药业	-0.52	56.95	56.95	56.97	-0.03	          1.73	-10.84	-38.29	   1.63㈠	33.39	38.74	         21.92	1.28	
